time,open,high,low,close,vol,date
1704067200000,6.921,8.12,6.729,7.569,39540183.47,2024-01-01
1704153600000,7.57,7.884,7.079,7.174,25450385.47,2024-01-02
1704240000000,7.174,7.74,5.666,6.288,33656144.32,2024-01-03
1704326400000,6.288,6.649,6.155,6.495,13938335.06,2024-01-04
1704412800000,6.494,6.55,5.76,6.153,12942395.83,2024-01-05
1704499200000,6.152,6.298,5.722,5.894,10591101.57,2024-01-06
1704585600000,5.892,6.147,5.501,5.623,8813249.85,2024-01-07
1704672000000,5.62,5.897,5.057,5.856,17487671.51,2024-01-08
1704758400000,5.857,5.899,5.216,5.491,12187825.7,2024-01-09
1704844800000,5.491,6.089,5.258,5.942,12197476.38,2024-01-10
1704931200000,5.944,6.506,5.881,6.459,19328146.74,2024-01-11
1705017600000,6.46,6.486,5.775,5.973,14196554.55,2024-01-12
1705104000000,5.974,6.158,5.712,6.029,6736145.47,2024-01-13
1705190400000,6.027,6.266,5.792,5.814,10285383.29,2024-01-14
1705276800000,5.813,6.14,5.805,5.925,6556963.12,2024-01-15
1705363200000,5.926,5.994,5.73,5.857,6644940.19,2024-01-16
1705449600000,5.857,5.908,5.612,5.79,6909429.99,2024-01-17
1705536000000,5.792,5.978,5.488,5.616,10267925.47,2024-01-18
1705622400000,5.617,5.635,5.13,5.48,9145354.96,2024-01-19
1705708800000,5.479,5.552,5.386,5.513,4062210.41,2024-01-20
1705795200000,5.512,5.565,5.357,5.362,4025052.54,2024-01-21
1705881600000,5.362,5.406,5.013,5.046,9827646.72,2024-01-22
1705968000000,5.047,5.139,4.614,4.893,11002966.09,2024-01-23
1706054400000,4.894,5.029,4.795,5.01,6548329.63,2024-01-24
1706140800000,5.011,5.036,4.825,4.967,4180826.98,2024-01-25
1706227200000,4.967,5.233,4.907,5.175,5612454.74,2024-01-26
1706313600000,5.175,5.399,5.11,5.331,4444582.33,2024-01-27
1706400000000,5.33,5.414,5.127,5.199,4104880.07,2024-01-28
1706486400000,5.2,5.369,5.111,5.337,4330513.46,2024-01-29
1706572800000,5.339,5.382,5.13,5.158,5063012.85,2024-01-30
1706659200000,5.157,5.18,4.892,4.959,6189580.82,2024-01-31
1706745600000,4.959,5.003,4.853,4.974,4483003.77,2024-02-01
1706832000000,4.974,5.082,4.936,5.046,4381318.47,2024-02-02
1706918400000,5.047,5.317,5.029,5.065,7175803.4,2024-02-03
1707004800000,5.065,5.068,4.897,4.928,3838009.54,2024-02-04
1707091200000,4.926,5.045,4.856,4.998,3425094.63,2024-02-05
1707177600000,4.997,5.149,4.938,5.07,4024474.66,2024-02-06
1707264000000,5.07,5.197,4.976,5.186,4713040.47,2024-02-07
1707350400000,5.186,5.275,5.142,5.225,4531232.33,2024-02-08
1707436800000,5.226,5.55,5.217,5.473,8242691.9,2024-02-09
1707523200000,5.474,5.501,5.281,5.354,4609527.39,2024-02-10
1707609600000,5.354,5.445,5.262,5.308,3555056.95,2024-02-11
1707696000000,5.309,5.496,5.209,5.45,5171527.99,2024-02-12
1707782400000,5.45,5.542,5.35,5.488,8727104.89,2024-02-13
1707868800000,5.489,5.669,5.444,5.59,7265567.64,2024-02-14
1707955200000,5.592,5.936,5.591,5.869,9939884.89,2024-02-15
1708041600000,5.869,5.996,5.645,5.788,8697232.07,2024-02-16
1708128000000,5.788,6.396,5.703,6.209,21171155.47,2024-02-17
1708214400000,6.209,6.436,6.064,6.28,13131295.86,2024-02-18
1708300800000,6.28,7.798,6.218,7.397,31254262.25,2024-02-19
1708387200000,7.398,7.999,7.051,7.708,47080029.57,2024-02-20
1708473600000,7.71,7.746,6.808,7.241,21614301.12,2024-02-21
1708560000000,7.241,8.482,7.076,8.068,30725130.79,2024-02-22
1708646400000,8.067,8.283,8.063,8.26,1362309.88,2024-02-23
